1.238259323962608960e+00,6.977592298422579109e-01
1.341811106722056834e+00,6.607777034083295309e-01
1.376925927267613758e+00,6.464406717831734372e-01
6.160092675566009035e-01,1.183022940625294561e+00
9.593092985367910330e-01,1.012870171543931663e+00
8.022315703911111484e-01,1.134045078248361316e+00
6.436022345734588868e-01,1.174469853509561235e+00
7.468848333462840827e-01,1.148574222344542095e+00
8.778220609875795333e-01,1.114046731684779745e+00
3.564765314593554280e-01,1.292873850179012019e+00
8.902493237400097570e-01,1.072373556491388991e+00
3.679915286207169345e-01,1.279068529393810438e+00
1.674833699318050151e-01,1.486999440722933885e+00
5.800136076889739201e-01,1.194367001319746047e+00
1.806386183117094646e-01,1.481011755578788724e+00
1.328740862738371220e+00,6.659559591442782978e-01
1.038556003262353755e+00,9.763380185939702915e-01
2.130786158402386832e-01,1.470022478988066483e+00
4.307850933313428499e-01,1.246206262749828264e+00
1.112456860332324382e+00,9.422232938293382265e-01
5.916144727657624003e-01,1.191543637177756354e+00
1.238259323962608960e+00,6.977592298422579109e-01
1.384297879676465115e+00,6.435846036620935795e-01
5.823085181968057356e-01,1.193801499834661550e+00
6.827328947113411317e-01,1.163773562737582923e+00
4.068338295308251418e-01,1.255600492208723162e+00
1.345061076679705536e+00,6.596425745667799934e-01
1.397622492366924263e+00,6.373903655091315290e-01
9.962721465275699018e-01,9.942115869449816845e-01
1.050323697567790759e+00,9.695988435838052144e-01
1.356920947168985592e+00,6.549040758163597875e-01
4.662358542401108252e-01,1.230778513655745643e+00
7.663498801163743934e-01,1.144232848384412415e+00
2.491964019072216985e-01,1.455968501766246037e+00
5.410306522022949594e-01,1.204615449689163897e+00
1.576393579419779201e-01,1.493639174309726814e+00
1.043305029347372681e+00,9.727686906874801753e-01
7.783984875110707691e-01,1.141228835106360195e+00
5.349899189780558117e-01,1.206336059183556353e+00
3.337521219057570931e-01,1.318773847157412193e+00
9.417597877048500266e-01,1.023290425181254237e+00
5.000744897533451194e-01,1.217313330663962967e+00
8.891694630869864113e-01,1.075734984549688855e+00
1.179209225104047576e+00,7.216684202449361596e-01
